Store_ID,Dept,Weekly_Sales,IsHoliday,CPI,Unemployment,Month
1,1,24924.5,0,211.0963582,8.106,2
1,26,11737.12,0,211.0963582,8.106,2
1,17,13223.76,0,211.0963582,8.106,2
1,79,46729.77,0,211.0963582,7.804775276512688,2
1,55,21249.31,0,211.0963582,7.804775276512688,2
1,5,32229.38,0,211.0963582,7.804775276512688,2
1,7,21512.633754899398,0,211.0963582,7.804775276512688,2
1,83,21512.633754899398,0,211.0963582,8.106,2
1,9,21512.633754899398,0,211.0963582,8.106,2
1,87,21512.633754899398,0,211.0963582,8.106,2
1,34,21512.633754899398,0,211.0963582,8.106,2
1,74,12251.94,0,211.0963582,8.106,3
1,38,115564.35,0,211.0963582,8.106,3
1,93,64494.87,0,211.0963582,8.106,3
1,23,24146.49,0,211.0963582,8.106,3
1,16,10217.55,0,211.0963582,8.106,3
1,95,106690.06,0,211.0963582,8.106,2
1,2,50605.27,0,211.0963582,8.106,2
1,4,39954.04,0,211.0963582,8.106,2
1,80,15694.17,0,211.0963582,8.106,2
1,8,40129.01,0,211.0963582,8.106,2
1,46,20837.77,0,211.0963582,8.106,2
1,90,76419.47,0,211.0963582,8.106,2
1,14,19466.91,0,211.0963582,8.106,2
1,94,56655.39,0,211.0963582,8.106,2
1,97,32153.04,0,211.0963582,8.106,2
1,49,11501.46,0,211.0963582,8.106,2
1,91,62424.14,0,211.0963582,8.106,2
1,3,13740.12,0,211.0963582,8.106,2
1,32,11875.84,0,211.0963582,8.106,2
1,81,30052.75,0,211.0963582,8.106,2
1,22,13623.98,0,211.0963582,8.106,2
1,82,19484.03,0,211.0963582,8.106,2
1,13,41969.29,0,211.0963582,8.106,2
1,40,66780.63,0,211.0963582,8.106,2
1,25,11609.5,0,211.0963582,8.106,2
1,10,30721.5,0,211.0963582,8.106,2
1,72,98499.12,0,211.0963582,8.106,2
1,92,139884.94,0,211.0963582,8.106,2
1,11,24213.18,0,211.0963582,8.106,2
1,98,10891.37,0,211.0963582,8.106,2
1,3,10887.84,1,211.2421698,8.106,2
1,79,36080.86,1,211.2421698,8.106,2
1,46,18826.47,1,211.2421698,8.106,2
1,13,36476.4,1,211.2421698,8.106,3
1,17,13403.66,1,211.2421698,8.106,3
1,23,22812.41,1,211.2421698,8.106,3
1,87,39254.57,1,211.2421698,8.106,3
1,4,35351.21,1,211.2421698,8.106,3
1,7,18310.31,1,211.2421698,8.106,3
1,14,18129.02,1,211.2421698,8.106,2
1,55,18892.81,1,211.2421698,8.106,2
1,11,21760.75,1,211.2421698,8.106,2
1,98,16309.73,1,211.2421698,8.106,2
1,32,14700.59,1,211.2421698,8.106,2
1,5,29620.81,1,211.2421698,8.106,2
1,9,16562.49,1,211.2421698,8.106,2
1,49,16139.05,1,211.2421698,8.106,2
1,80,16720.84,1,211.2421698,8.106,2
1,82,20949.36,1,211.2421698,8.106,2
1,93,70202.02,1,211.2421698,8.106,2
1,8,37334.83,1,211.2421698,8.106,2
1,81,30694.25,1,211.2421698,8.106,2
1,25,13268.75,1,211.2421698,8.106,2
1,94,62329.48,1,211.2421698,8.106,2
1,40,60828.25,1,211.2421698,8.106,2
1,26,10050.92,1,211.2421698,8.106,2
1,97,33874.47,1,211.2421698,8.106,2
1,38,94136.35,1,211.2421698,8.106,2
1,74,11857.96,1,211.2421698,8.106,2
1,10,31494.77,1,211.2421698,8.106,2
1,34,12852.83,1,211.2421698,8.106,2
1,22,14807.95,1,211.2421698,8.106,2
1,91,66937.0,1,211.2421698,8.106,2
1,95,111390.36,1,214.0146981377928,8.106,2
1,2,44682.74,1,211.2421698,8.106,2
1,90,79455.64,1,211.2421698,8.106,2
1,1,46039.49,1,211.2421698,8.106,2
1,16,11873.89,1,211.2421698,8.106,2
1,18,19006.5,1,211.2421698,8.106,2
1,67,17614.47,1,211.2421698,8.106,2
1,92,143081.42,1,211.2421698,8.106,2
1,72,79636.32,1,211.2421698,8.106,2
1,3,11523.47,0,211.2891429,8.106,2
1,93,62581.64,0,211.2891429,8.106,2
1,8,38717.6,0,211.2891429,8.106,2
1,7,19985.2,0,211.2891429,8.106,2
1,97,31585.78,0,211.2891429,8.106,2
1,13,37857.68,0,211.2891429,8.106,2
1,79,34141.62,0,211.2891429,8.106,2
1,80,15918.98,0,211.2891429,8.106,2
1,98,12087.95,0,211.2891429,8.106,2
1,25,10271.25,0,211.2891429,8.106,2
1,87,33593.8,0,211.2891429,8.106,2
1,17,13485.61,0,211.2891429,8.106,2
1,38,98672.59,0,211.2891429,8.106,2
1,74,13917.2,0,211.2891429,8.106,2
1,5,26468.27,0,211.2891429,8.106,2
1,81,28784.91,0,211.2891429,8.106,2
1,4,36826.95,0,211.2891429,8.106,2
1,32,20275.45,0,211.2891429,8.106,2
1,14,17491.36,0,211.2891429,8.106,2
1,9,15880.85,0,211.2891429,8.106,2
1,55,17404.53,0,211.2891429,8.106,2
1,16,13855.54,0,211.2891429,8.106,2
1,2,47928.89,0,211.2891429,8.106,2
1,18,17623.72,0,211.2891429,8.106,2
1,94,72212.32,0,211.2891429,8.106,2
1,40,68569.53,0,211.2891429,8.106,2
1,49,16736.17,0,211.2891429,8.106,2
1,1,41595.55,0,211.2891429,8.106,2
1,11,18706.21,0,211.2891429,8.106,2
1,82,20195.2,0,211.2891429,8.106,2
1,46,22414.94,0,211.2891429,8.106,2
1,10,29634.13,0,211.2891429,8.106,2
1,34,13006.5,0,211.2891429,8.106,2
1,26,10547.6,0,211.2891429,8.106,2
1,72,72377.79,0,211.2891429,8.106,2
1,23,21381.85,0,211.2891429,8.106,2
1,91,63011.44,0,211.2891429,8.106,2
1,22,12290.16,0,211.2891429,8.106,2
1,90,76091.36,0,211.2891429,8.106,2
1,95,107952.07,0,211.2891429,8.106,2
1,92,135066.75,0,211.2891429,8.106,2
1,67,16411.69,0,211.2891429,8.106,2
1,79,33309.85,0,211.3196429,8.106,2
1,49,16245.13,0,211.3196429,8.106,2
1,98,10871.74,0,211.3196429,8.106,2
1,8,35318.2,0,211.3196429,8.106,2
1,17,10667.06,0,211.3196429,8.106,2
1,3,11135.17,0,211.3196429,8.106,2
1,93,57630.02,0,211.3196429,8.106,2
1,55,16708.1,0,211.3196429,8.106,2
1,34,12005.0,0,211.3196429,8.106,2
1,13,37467.32,0,211.3196429,8.106,2
1,5,24101.89,0,211.3196429,8.106,2
1,38,92755.59,0,211.3196429,8.106,2
1,74,13330.89,0,211.3196429,8.106,2
1,2,44292.87,0,211.3196429,8.106,2
1,4,34660.16,0,211.3196429,8.106,2
1,25,10218.67,0,211.3196429,8.106,2
1,7,17224.22,0,211.3196429,8.106,2
1,40,64328.29,0,211.3196429,8.106,2
1,97,28457.31,0,211.3196429,8.106,2
1,23,17798.37,0,211.3196429,8.106,2
1,82,19023.33,0,211.3196429,8.106,2
1,16,12881.02,0,211.3196429,8.106,2
1,87,32299.49,0,211.3196429,8.106,2
1,11,17306.61,0,211.3196429,8.106,2
1,10,27921.96,0,211.3196429,8.106,2
1,94,55501.07,0,211.3196429,8.106,2
1,80,15673.94,0,211.3196429,8.106,2
1,9,15175.52,0,211.3196429,8.106,2
1,91,57335.17,0,211.3196429,8.106,2
1,1,19403.54,0,211.3196429,8.106,2
1,14,16118.26,0,211.3196429,8.106,2
1,95,103652.58,0,211.3196429,8.106,2
1,46,18099.75,0,211.3196429,8.106,2
1,81,28213.79,0,211.3196429,8.106,2
1,72,55590.73,0,211.3196429,8.106,2
1,90,71718.48,0,211.3196429,8.106,2
1,92,125048.08,0,211.3196429,8.106,2
1,8,38776.09,0,211.3501429,8.106,3
1,79,42931.77,0,211.3501429,8.106,3
1,98,10903.65,0,211.3501429,8.106,3
1,3,12275.58,0,211.3501429,8.106,3
1,25,10345.5,0,211.3501429,8.106,3
1,5,23082.14,0,211.3501429,8.106,3
